source,kind,url,http_status,content_type,bytes,sha256,licence,retrieved
stapi/book,api,https://stapi.co/api/v1/rest/book/search,200,application/json,931532,9f2ea2602d07a51ae7a5f3a13c37fda08bf12173aecdd5bea3d33d8dea2dc131,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/bookCollection,api,https://stapi.co/api/v1/rest/bookCollection/search,200,application/json,15727,a5690f7a366ae9016abc116353e67bb907a84a30dcb98af4d56bd13facbd9078,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/bookSeries,api,https://stapi.co/api/v1/rest/bookSeries/search,200,application/json,26452,9f33d07bc903e3e57ec054b728eabde67bf921bf4998a2d6a65e443850636a10,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/book_full,api,https://stapi.co/api/v1/rest/book?uid=,200,application/json,8705347,c1c65cd5f1f1afa5fadf083b6ee53167ba18bbbf33982331c0e98a1539a8665c,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/comicCollection,api,https://stapi.co/api/v1/rest/comicCollection/search,200,application/json,58872,e4c5b990374243972a23b0e2790787d2fbe0313f9fa9bac269d902f890443c28,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/comicSeries,api,https://stapi.co/api/v1/rest/comicSeries/search,200,application/json,53945,e16e552a2a28392ad9d10444e38aa8e09a2754689c5041f74f0066b7e2cb2f91,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/comics,api,https://stapi.co/api/v1/rest/comics/search,200,application/json,355184,497eaddc44c23f3bc9d3e925dc627caadb42dad85fa82f9f82456c890c47c4ac,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/comics_full,api,https://stapi.co/api/v1/rest/comics?uid=,200,application/json,10753895,ba8478306d3fd37262374ff9d949abe6d3c99aafe0e3dda38bbe00203f50f576,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/episode,api,https://stapi.co/api/v1/rest/episode/search,200,application/json,506957,f788ed815ff4957c5e3d3a8e46239eae5276be802b8da6e30fe448aaeb47e889,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/episode_full,api,https://stapi.co/api/v1/rest/episode?uid=,200,application/json,26896351,add589292c96dba0552b0be44960d366a902d7c7ed70e3cc2462a8031ab11417,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/magazine,api,https://stapi.co/api/v1/rest/magazine/search,200,application/json,151170,15aadff4167fcd3be2f01978802fa0e1d27e09a8d9a0e847592d81dccb423278,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/magazineSeries,api,https://stapi.co/api/v1/rest/magazineSeries/search,200,application/json,9313,1a54b7610744a3dcab5e6c4a557b847ed1efa55f702bdcb4bca570c20fb86d31,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/magazine_full,api,https://stapi.co/api/v1/rest/magazine?uid=,200,application/json,582863,d1a0088a0c19c8507fee85667eedad0260ee2670d3d4cbcd2b08b0978a011d16,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/movie,api,https://stapi.co/api/v1/rest/movie/search,200,application/json,13364,f27ec1b5cc95857cb5c6a1ddd6dd035fd2137030dd8f0be5136d0481e2a129c8,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/movie_full,api,https://stapi.co/api/v1/rest/movie?uid=,200,application/json,2374025,cce5c8ac4faae2e9f3c3ecb548883709fdbcd2a1228651cd002c7de5601089d8,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/series,api,https://stapi.co/api/v1/rest/series/search,200,application/json,5768,d75e55c2f98748177957cacf3a69863575d4ee0857ca6a54895e559d3f66bea0,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/videoGame,api,https://stapi.co/api/v1/rest/videoGame/search,200,application/json,21369,a00fc34d5cf4c3075ce6efb7382950fc48fced3a3ec3d95f0c7ac0b0afbbc5ff,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
stapi/videoGame_full,api,https://stapi.co/api/v1/rest/videoGame?uid=,200,application/json,143769,990b9eb195785685dab4eb32b03b5407381c2ab4189ab2ff7b8b4d2f73cb4191,"STAPI, free API (stapi.co) -- data about copyrighted works",2026-09-11
memory-alpha.xml.7z,dump,https://s3.amazonaws.com/wikia_xml_dumps/e/en/enmemoryalpha_pages_current.xml.7z,200,application/x-7z-compressed,82087343,fd44c416e7f6fb6e6cd841ec65485a2feca8e96c4dbeaafeec98a116753346f2,CC-BY-NC-3.0 (Memory Alpha),2026-09-11
memory-beta.xml.7z,dump,https://s3.amazonaws.com/wikia_xml_dumps/s/st/startrek_pages_current.xml.7z,200,application/x-7z-compressed,42234871,d82a86e9fc06eb970ad57d1599cd4322d93d2368cfafd59bd2c9fb4c58ea3a7f,CC-BY-SA-3.0 (Memory Beta),2026-09-11
